output_0,output_1,output_2,output_3,output_4
3.0421906,3.1737592,3.1182055,2.9201522,3.0940738
8.241204,8.39639,8.510471,8.465693,8.327015
3.797813,3.5138445,5.2328987,3.6043248,3.688977
7.5405846,7.077965,7.2367296,6.7110066,6.5672774
8.191057,7.8652053,7.422111,7.537885,7.685383
4.3710356,4.3423414,4.264369,4.5507164,4.2796307
4.1342373,3.6051831,6.40454,6.524388,6.0684514
6.005549,6.0980773,6.0916753,6.1427536,2.3024197
2.131091,2.1276503,2.5280104,2.4791343,2.2022312
2.3096566,2.5726755,2.5779421,2.384144,2.4843445
7.368562,3.0069363,7.1782594,6.952222,7.1148443
2.9805932,2.405536,3.2071826,2.5331397,2.7534704
6.025293,6.1068153,6.141871,5.8718104,5.2383113
2.4758613,2.0452235,2.0715432,2.0704987,2.1264546
3.5886712,5.517025,5.3559446,2.367904,3.4216995
2.5483487,2.6922681,2.3581018,2.69747,2.334047
3.218467,2.8903992,4.7789793,2.9542453,3.1791596
6.5000825,6.22657,6.381208,6.268239,6.63202
2.177644,1.9135923,1.9298738,1.985052,1.940358
6.868289,6.6724954,6.516443,7.136779,6.578264
7.300254,7.0132504,6.5450835,7.030538,7.3770914
9.39068,6.4059935,5.4169836,4.893424,9.536681
4.039975,3.953841,3.540821,3.9304435,3.8196092
2.5658922,2.39777,2.3601296,2.7909498,2.5692623
3.1277878,3.296138,3.3656762,3.4489603,3.3912408
5.573602,5.0043697,4.632676,5.0989323,4.6892104
4.275973,4.972673,4.2441807,4.545506,5.2357125
5.0970798,5.0293264,5.087176,5.0860066,5.2735357
5.198557,5.1051474,5.0417156,5.238044,5.1090126
2.7221012,2.6660821,2.725866,2.6575723,2.8053539
2.5043044,2.4386578,2.4427154,2.3693814,2.5132217
4.522824,5.1905,4.3966594,4.779602,4.8314214
6.156988,6.2191043,6.6298227,6.4011116,6.151137
7.272479,7.3747587,7.4473906,6.7966623,7.574794
2.6183257,2.1337059,2.1712592,2.9427853,3.0720582
2.6562717,3.0261395,2.9213996,3.2784839,3.0498881
3.103856,3.0761533,3.339974,3.3119931,2.9570618
2.4084783,3.800138,3.5243478,3.6892478,2.6024985
6.587865,6.450535,6.6173887,6.8718843,6.3162594
6.2301493,6.3888745,5.8118773,6.4015875,6.133165
2.3473883,2.3881717,2.3961997,2.3514888,2.666367
4.542232,4.245692,4.5342584,4.3758483,4.680345
5.5814915,5.3449364,5.446094,5.4822855,5.357091
3.4133801,5.1682186,3.490932,3.7732804,3.9928603
2.9978132,5.521315,5.753052,5.4261284,5.483641
1.9529244,1.8838354,1.9870583,1.7639128,1.966333
8.288301,6.614756,7.171298,6.2780514,6.78
3.2366822,7.1015716,7.218165,4.2329564,3.459146
1.7133995,2.078798,2.431666,2.1538754,2.5216033
4.9591956,4.4993587,4.9318466,4.9813566,4.9873676
2.8253524,3.5661714,3.5373006,3.392883,3.910259
1.444069,2.2146676,2.2561028,2.300946,1.4174844
5.4466844,6.026622,5.7431307,5.5658097,5.501108
2.9168878,2.7123163,2.5144954,2.970614,3.1359916
3.7727234,4.9616003,5.261005,4.1268907,5.347219
6.2796426,5.813509,5.9888783,5.7393155,6.3791313
3.1515923,3.192717,3.2607472,3.1613917,3.2544587
1.3156954,1.8365427,1.4888916,4.7315907,1.9792627
1.680363,2.049428,2.0448587,2.0399988,2.4592626
9.21757,8.31576,7.683051,8.930659,8.549942
3.34327,3.4750633,3.0737991,2.9785595,3.1324878
6.7290497,4.9673333,6.6092114,5.2562585,5.0956397
