output_0,output_1,output_2,output_3,output_4
1.9681664,2.2934425,3.6689982,2.1048927,4.242739
5.933673,4.8989105,3.5375588,6.2644105,4.9728975
3.3990047,3.4253938,3.4923444,3.598585,3.5274906
7.335026,7.383545,7.603731,7.465112,7.4109607
7.266575,7.1323686,7.2647924,6.8420944,7.807313
6.7524643,3.7274296,2.8703694,6.606552,2.9845195
5.980327,5.864021,5.8699265,2.2601306,2.1470506
10.677452,10.797714,10.671982,10.642262,10.822459
5.6286607,5.3478265,5.6397214,5.503462,5.5224776
6.1693954,6.754225,6.712475,8.817294,6.9364753
3.2233403,3.0970347,6.552807,3.1097476,2.7509768
7.592779,5.1831245,7.5180945,7.552307,4.893328
6.243765,5.9305463,6.257183,6.0725193,5.750069
5.954725,7.105659,7.163278,6.7859063,6.034264
8.908687,8.799787,9.030099,8.790151,8.791362
7.805984,7.7690516,7.3623996,8.136696,8.080685
7.3655643,7.513341,7.11861,6.08772,6.922842
7.990818,7.6334915,7.547467,7.9571953,7.5889115
5.1985407,5.022609,5.0534835,5.0639343,5.092627
6.022775,3.390239,3.1017623,3.1949005,3.0070724
2.8718662,3.1248183,2.4263947,2.9940147,6.7664213
5.2448545,5.5451126,4.85727,5.579005,5.3791184
4.3245096,4.3845778,4.7530727,4.14493,3.57396
8.069876,6.6349554,8.102977,5.8882294,5.3502426
6.2593727,6.357425,6.3882346,6.311207,6.461429
5.3645897,4.916013,4.736933,5.2183285,5.0118275
8.389926,8.191638,6.537889,9.024764,6.9144816
2.958727,2.0440683,2.6062932,2.6532545,2.798947
3.5312114,3.1399498,5.754025,6.0661097,5.9346952
6.3972373,6.618786,6.655369,6.407942,6.77264
5.7503653,5.639896,5.3328586,5.600814,5.967889
3.8708985,3.888902,3.6308258,3.4054627,3.7621808
2.8519323,2.6215005,2.4484668,4.865335,3.5323327
6.764173,5.3667154,4.115078,6.7818313,7.1667585
4.6928425,2.499702,4.265645,3.1986797,2.6280873
5.55971,4.179737,5.042124,4.4150076,4.965361
6.77991,7.2788796,7.2453585,7.884912,7.337517
6.411814,6.300634,6.4854455,6.056231,6.017999
3.572103,3.7261894,3.867324,3.2626197,3.9536338
4.3159685,4.111653,3.9511364,3.9263346,3.986803
6.469551,6.5268564,6.777507,6.6116433,6.475099
6.6982126,6.7486663,6.7586317,6.7606874,3.5308316
5.3977995,2.6207626,4.9799805,4.902633,5.5764556
4.778544,6.356118,6.797653,4.715358,6.285665
3.737889,4.321629,4.191498,4.2006826,4.229664
3.9409378,3.7059042,3.7050736,3.840291,3.71741
6.850043,6.7416787,6.5945377,6.0018554,5.2173905
3.150174,3.2423813,6.012217,3.257117,3.1868358
5.4572897,4.469136,4.898522,4.7901545,7.612277
6.477324,6.0259175,7.4297686,5.8837185,7.7040863
6.5985427,6.7750134,6.831118,6.054891,6.9128704
4.2895722,4.1666846,4.5769787,7.7646995,4.130072
4.2264886,4.8208365,4.6373115,4.3629317,4.6605053
3.3143666,3.5095508,4.3224187,4.4867525,2.7962022
6.575704,7.067501,5.6719055,7.126918,8.242821
5.324221,5.1967306,5.2268496,5.1084175,5.171711
8.526104,7.5465584,8.295801,8.468282,8.275157
6.635367,6.234007,5.4269133,4.8034325,3.7613442
5.3388886,5.9961405,5.9494605,5.669934,4.636626
5.837791,5.919801,5.925642,5.0888505,5.9807515
5.360306,5.048221,4.9264903,5.351494,5.140354
3.6003106,3.394711,2.342597,3.3273346,3.2514653
3.2710497,3.3834522,7.1361213,6.968952,4.702826
8.91061,8.961086,8.815845,7.644969,8.285662
4.5812345,6.0809007,4.3512945,5.8759484,5.740896
5.185469,5.249812,5.055584,4.5183167,3.6302862
4.6494966,5.2760053,4.9603815,4.098241,4.565997
5.3483562,5.132016,5.7887383,5.4691725,5.4336104
5.4123,6.4215016,6.4869714,5.9938226,6.545317
6.3997726,6.1664305,5.272728,4.9108024,4.3590364
7.917979,8.010539,7.9640102,7.724473,8.2152195
1.2587316,1.6233348,1.927579,2.015441,2.2261808
9.1137085,8.905838,9.0105715,8.964776,8.198658
7.4080706,7.2631617,4.314433,8.076376,7.460904
6.6420026,5.370984,5.106098,3.5685284,4.281826
5.5204253,5.2165766,5.2874613,5.373126,5.150256
3.0980897,2.738609,5.6141877,2.9840794,3.1008582
6.1566753,6.2284136,6.6753893,6.260025,6.1784163
5.116513,5.493514,5.515381,3.297594,6.2775335
5.717438,5.4895263,5.901535,5.4294066,5.750446
6.579783,5.975447,5.9484577,6.3720984,6.133933
6.939045,6.8395143,6.615599,6.52838,6.934764
6.373259,6.7912974,6.6953087,6.690347,6.904466
1.4518164,4.299296,1.9377108,1.5172755,4.1994824
5.468622,3.9104972,3.8112235,3.807301,8.33838
4.89381,4.6499295,5.2622323,5.2425756,4.892241
3.3586318,4.393551,4.2355113,3.8420622,4.5021844
2.8762746,5.1206393,2.3873448,3.6005738,3.5578327
1.642244,1.7603146,1.4452237,2.3959212,1.8538774
4.779737,4.7474575,4.6205707,4.7119613,4.7058043
4.307659,4.2138586,4.3623986,4.007482,4.1920013
3.6697888,6.6279993,6.382802,6.6110487,6.928874
3.1772854,2.2572613,4.774858,2.7852125,2.357375
6.7946687,6.837896,6.8293014,6.0125356,6.2478776
4.949409,4.2714877,4.3764896,7.4013047,7.66206
5.9535246,6.0120244,5.8597074,6.248988,5.301613
3.3198674,2.559836,2.488853,2.602811,2.6146894
5.906503,6.425037,6.2423234,6.463871,6.0825253
7.3136683,3.6303656,7.305705,7.1554775,6.8658404
8.530722,8.850558,5.101033,8.568196,8.441628
8.446255,8.459505,8.472574,8.593253,8.818591
4.930218,4.924544,5.0946,5.017736,4.77379
5.8622274,2.1617923,3.7696831,3.9736805,5.2004166
3.2854884,2.927222,4.172154,2.9916499,4.1498084
2.6520529,2.1563752,2.7485924,2.4101577,2.011768
2.186016,3.8616745,2.5888925,4.3367596,3.9665027
2.8855374,3.3509758,3.20842,3.2595115,2.5357773
