output_0,output_1,output_2,output_3,output_4
4.900716,5.307885,5.0088897,5.0613475,5.1018724
4.9742336,4.9056654,4.9937453,4.868663,4.9745493
1.967843,2.0414653,2.088567,1.9991401,1.9298422
2.2954865,2.3197062,3.127788,2.4151764,3.038543
4.0859303,4.24293,4.2047324,3.7289162,4.159039
2.7765088,2.6339488,3.1671145,2.4704769,2.6569114
2.7199464,2.8217752,2.6118984,2.8659577,2.8352046
4.94055,4.915887,4.952924,5.034995,5.0369577
3.9376957,4.386162,4.3313355,4.126522,3.3283243
6.603417,6.9144506,7.337641,7.4741726,7.9776726
5.3304195,5.2190056,5.1973877,5.2271147,5.062049
6.5053625,6.4532986,6.000865,6.503728,6.4609637
4.799733,4.9199543,4.7533927,4.9126925,4.9678416
6.908329,7.1156487,6.853505,7.072534,6.7659917
6.447029,6.5127974,6.861295,6.2229657,6.8439064
3.0419323,2.8834362,2.8204837,3.4425087,4.392626
3.0708306,1.3599511,1.54119,1.6195866,1.4817051
2.6761007,3.2169478,2.7535567,3.5889177,3.2559197
2.5658813,1.297033,1.4374824,2.211971,1.6027046
5.525004,5.3238964,5.365946,5.5336003,5.402008
4.8073497,5.1607494,5.262762,5.0994444,5.389019
5.1825304,5.0482187,5.1167817,4.8770103,4.875005
5.193877,5.1000214,5.117484,5.277339,5.4029684
6.432827,6.7088604,6.285553,6.40572,6.5985923
8.639095,8.711015,8.945463,9.219672,9.126821
5.2184324,5.4914246,5.2090445,5.316561,5.0971785
5.1243362,4.9493074,5.24146,4.9967623,5.1176147
3.2557392,3.389518,2.392754,2.4440506,3.3940568
1.8256834,1.8160897,1.782439,1.9499815,1.6366577
7.215285,6.842767,7.2171736,7.0810003,6.922474
1.7659092,1.7299067,1.7221206,1.7832521,1.8880526
3.783359,3.869454,5.9299717,3.9308324,3.7117848
2.235912,1.2582473,2.6080828,2.2237298,2.0215309
2.5054386,1.2663436,2.1963758,2.2913597,2.5447538
5.231783,4.772926,4.806655,4.4317703,4.869022
5.406169,5.2141542,5.2183857,5.320558,5.0889006
1.7044884,1.5087116,1.5103195,1.5506786,1.5139605
6.2990007,6.7748384,6.4641275,6.3191967,6.4676094
8.811111,7.2189884,7.6519556,7.845683,7.344942
1.145583,1.245236,1.1629657,1.1441356,1.2423425
6.538202,6.7215214,6.6987867,7.016162,6.825756
1.5011204,1.8325462,1.5322028,1.5163041,2.6150641
5.221591,5.199143,5.319128,5.44258,5.615097
6.0481863,6.111347,6.246331,6.17039,6.2159142
7.1615868,7.229742,6.8775196,7.035298,7.1376762
5.144719,5.178876,5.0767174,5.2987685,5.021011
5.1154194,4.9734936,4.967087,4.870241,5.1831055
4.952239,4.664527,4.9876156,5.113884,5.172245
2.7452893,2.93848,2.9126582,1.9374253,2.0850213
6.690252,6.6660776,5.952234,6.32685,6.4910307
5.3999596,4.8788476,5.3261724,5.4210763,5.3516474
4.3112507,4.913822,4.222935,4.1649456,4.2002087
5.460419,5.4093866,5.26165,5.136298,5.167411
5.0856576,5.2161384,5.519224,5.020195,5.1087136
5.123765,4.9947863,4.8693266,4.7953596,4.84144
1.9974247,2.7252297,1.7389994,2.9852967,1.3067809
6.440419,6.2378626,6.367119,6.6817617,6.3128424
6.841839,7.6867857,7.2007103,7.536671,7.753278
5.0551558,5.0014563,5.388485,5.421117,5.2040215
6.7596426,6.7546306,6.8481693,6.83359,6.960735
